mrflip	tom_e_white
mrflip	mza
wattsteve	josephkelly
nealrichter	tlipcon
lenbust	hadoop
esammer	hadoop
mikeolson	hadoop
jeromatron	hadoop
dhruvbansal	hadoop
ogrisel	hadoop
wattsteve	hadoop
tom_e_white	hadoop
cmastication	hadoop
peteskomoroch	hadoop
sogrady	hadoop
chrisdiehl	hadoop
metcalfc	hadoop
dataspora	hadoop
cutting	hadoop
lusciouspear	hadoop
datajunkie	hadoop
josephkelly	hadoop
nealrichter	hadoop
kentbrew	hadoop
mat_kelcey	hadoop
mndoci	hadoop
tlipcon	hadoop
flowingdata	hadoop
bradfordcross	hadoop
kevinweil	hadoop
communicating	hadoop
mza	hadoop
mrflip	hadoop
abdur	infochimps
goldenhultz5323	infochimps
bradfordcross	lusciouspear
infochimps	lenbust
cloudera	tlockney
mrflip	jeromatron
mndoci	mrflip
wadearnold	cloudera
bdainton	infochimps
cloudera	sethladd
otisg	cloudera
nealrichter	datajunkie
cloudify	cloudera
p1lonn	cloudera
platformlead	cloudera
lusciouspear	kevinweil
teiati	cloudera
tectonic	infochimps
da_robe	hadoop
krasivy	infochimps
teiati	cloudera
zieglerfe	infochimps
flowingdata	infochimps
mikeloukides	cloudera
tkb	infochimps
peteskomoroch	cmastication
samohtsivraj	infochimps
cloudera	bnewport
idefine	cloudera
mndoci	infochimps
joshuabaer	infochimps
cmastication	esammer
esammer	cmastication
tweepml	infochimps
lorigama	infochimps
esammer	mrflip
cloudera	cwire4
tedc	cloudera
nealrichter	communicating
bradfordcross	cloudera
akshar	cloudera
tweepml	infochimps
cloudera	mariagrineva
datajunkie	communicating
lusciouspear	peteskomoroch
wattsteve	josephkelly
cloudera	efic1
chrisdiehl	cmastication
infochimps	mandelbrot
eduo	infochimps
esammer	cmastication
lusciouspear	bradfordcross
wadearnold	cloudera
infochimps	napjeeper
akshar	cloudera
cyc_ai	infochimps
grigs	infochimps
cloudera	mariagrineva
bird_owl	cloudera
peteskomoroch	nealrichter
esammer	cmastication
cmastication	datajunkie
abhishektiwari	cloudera
joshuabaer	infochimps
evesimon	infochimps
lusciouspear	bradfordcross
mat_kelcey	datajunkie
tweepml	infochimps
infochimps	walshmichael
jwfbean	cloudera
nealrichter	peteskomoroch
cognizr	infochimps
saurabhnanda	hadoop
matsunobu	cloudera
infochimps	sogrady
matt_massie	cloudera
seaofclouds	hadoop
nealrichter	peteskomoroch
cloudera	kevinweil
peteskomoroch	cmastication
everythingmysql	cloudera
esammer	mrflip
peteskomoroch	mndoci
saurabhnanda	hadoop
jeromatron	esammer
datajunkie	peteskomoroch
cwire4	cloudera
mndoci	mrflip
lusciouspear	bradfordcross
communicating	infochimps
tedc	cloudera
bradfordcross	cmastication
samtingleff	cloudera
cmastication	esammer
mrflip	infochimps
randygiusto	infochimps
metcalfc	lusciouspear
ogrisel	mrflip
nickducoff	infochimps
peteskomoroch	cmastication
johncmunoz	infochimps
infochimps	aduthie
wattsteve	mrflip
infochimps	walshmichael
mikeolson	esammer
anutron	cloudera
infochimps	alexismadrigal
djacap	cloudera
idefine	cloudera
alkalineearth	infochimps
mdkail	cloudera
milesefron	infochimps
optian	cloudera
communicating	datajunkie
mrflip	bradfordcross
cloudera	hackingdata
metcalfc	nealrichter
lusciouspear	mndoci
kevinweil	cloudera
esammer	peteskomoroch
mrflip	tlipcon
esammer	cmastication
datajunkie	chrisdiehl
ogrisel	bradfordcross
cloudera	mariagrineva
nickducoff	infochimps
puneetla	cloudera
bradfordcross	cloudera
infochimps	znmeb
cwire4	cloudera
dataspora	peteskomoroch
nickducoff	infochimps
bradfordcross	ogrisel
cloudera	hortovanyi
cloudera	johannhartmann
kentbrew	infochimps
infochimps	candice1977
cmastication	peteskomoroch
metcalfc	lusciouspear
cmastication	datajunkie
rgeorge28	cloudera
anutron	cloudera
deinspanjer	infochimps
pdsphil	infochimps
rasga	infochimps
jpmarcum	infochimps
mrflip	infochimps
mndoci	peteskomoroch
yarapavan	infochimps
mat_kelcey	datajunkie
lusciouspear	tlipcon
lusciouspear	kevinweil
cloudera	sstrudeau
infochimps	ajprescott
infochimps	kentbrew
mrflip	kevinweil
briancollins	cloudera
lusciouspear	tlipcon
marckboucher	cloudera
peteskomoroch	datajunkie
cloudera	schain
ldodds	infochimps
stomp_rasta	cloudera
mndoci	peteskomoroch
feziegler	infochimps
cloudera	sstrudeau
band	infochimps
tlipcon	kevinweil
nealrichter	tlipcon
metcalfc	nealrichter
checkyourfuel	infochimps
inspired12	infochimps
mrflip	mndoci
nealrichter	tlipcon
chrisdiehl	datajunkie
infochimps	candice1977
datajunkie	kevinweil
kevinweil	tlipcon
gagcartoons	infochimps
leeblaylock	infochimps
mahmoudimus	cloudera
everythingmysql	cloudera
hayesdavis	infochimps
macdivaona	infochimps
mrflip	mndoci
ixothym	cloudera
bradfordcross	lusciouspear
matt_massie	cloudera
steveodom	infochimps
nealrichter	metcalfc
nealrichter	metcalfc
infochimps	dhruvbansal
nealrichter	metcalfc
ixothym	cloudera
pdsphil	infochimps
peteskomoroch	cmastication
chrisdiehl	peteskomoroch
peteskomoroch	cmastication
marcusherou	cloudera
ogrisel	mrflip
chad_walters	cloudera
cmastication	peteskomoroch
lusciouspear	mikeolson
peteskomoroch	bradfordcross
mrflip	peteskomoroch
flowingdata	infochimps
infochimps	aduthie
cloudera	efic1
bird_owl	cloudera
esammer	mrflip
bradfordcross	peteskomoroch
abraham	infochimps
peteskomoroch	chrisdiehl
mikeolson	kevinweil
alisohani	infochimps
anutron	cloudera
mikeolson	lusciouspear
joshuabaer	infochimps
tlipcon	kevinweil
cloudera	weststar42
gnestor	infochimps
mrflip	tlipcon
kovyrin	cloudera
cyc_ai	infochimps
datajunkie	infochimps
mattwdelong	infochimps
avometric	cloudera
dataspora	peteskomoroch
metcalfc	lusciouspear
tlipcon	kevinweil
silona	infochimps
kevinweil	mikeolson
wadearnold	cloudera
frankadman	infochimps
cmastication	bradfordcross
cmastication	peteskomoroch
chrisdiehl	peteskomoroch
rasga	infochimps
pfcdgayo	infochimps
mikearsenault	infochimps
alkalineearth	infochimps
nealrichter	peteskomoroch
samtingleff	cloudera
iamdanw	infochimps
cloudera	elicollins
nbrgraphs	infochimps
infochimps	infochimps
pfcdgayo	infochimps
actuary_math	infochimps
peteskomoroch	cmastication
squarecog	cloudera
systhink	infochimps
joshuabaer	infochimps
lusciouspear	mrflip
peteskomoroch	cmastication
esammer	cmastication
tlipcon	lusciouspear
llimllib	infochimps
otherinbox	infochimps
infochimps	abraham
joshuabaer	infochimps
infochimps	boathouseinc
infochimps	infochimps
tweepml	infochimps
kevinweil	lusciouspear
mat_kelcey	datajunkie
infochimps	ajprescott
mandelbrot	infochimps
utopiah	infochimps
infochimps	sogrady
cloudera	cmastication
mrflip	ogrisel
datajunkie	chrisdiehl
walshmichael	infochimps
bradfordcross	lusciouspear
francoisl	infochimps
znmeb	infochimps
derrinyet	infochimps
lenbust	tom_e_white
tom_e_white	cutting
ogrisel	communicating
infochimps	cdonahue
anutron	cloudera
datajunkie	bradfordcross
mrflip	infochimps
datajunkie	kevinweil
bradfordcross	datajunkie
ogrisel	communicating
nicolastorzec	infochimps
cloudera	kevinweil
mikeolson	esammer
sexyseo	cloudera
mrflip	ogrisel
nasrat	cloudera
chrisdiehl	sogrady
eduo	infochimps
squarecog	cloudera
mcraptor	hadoop
znmeb	infochimps
jpkml	hadoop
ealdent	infochimps
arun_anand	infochimps
cloudera	scottyallen
datajunkie	lusciouspear
cdonahue	infochimps
twitapeksha	hadoop
lusciouspear	tlipcon
tlipcon	mikeolson
infochimps	brenes
olyerickson	infochimps
esammer	lusciouspear
emp	infochimps
alkalineearth	infochimps
nicolastorzec	infochimps
vzaliva	cloudera
utopiah	infochimps
mrflip	mza
agemooij	cloudera
lenbust	infochimps
madmongol	cloudera
infochimps	the_javelina
infochimps	flowingdata
