15june	1	1
2009	1	1
3110	1	2
32nm	1	1
3n	1	1
80legs	1	1
8ball_	1	1
9Apache9	1	1
9renpoto	1	1
AAMG	1	1
AAinslie	1	1
AI_Robotics	1	1
ARPmike	1	1
Aethylred	1	1
AjitJaokar	1	1
AndiMann	1	1
AndrewBate	1	1
AndrewLampitt	1	1
AntiThetical	1	1
AntoineTwitts	1	1
AuntiSpam	1	1
AyakoBaba	1	1
AzureMagic	1	1
BadCaseOfDaWins	1	2
BalaramanL	1	1
BaldMan	1	1
Ben_Hall	1	2
BigDaddyData	1	1
BigDataNews	1	1
BigstickCarpet	1	1
Blogsdna	1	1
BobGneu	1	1
Bochmann	1	1
BrentO	1	1
CanSpice	1	1
CaptTofu	1	2
CarriBugbee	1	2
CaseySoftware	1	1
CheriSigmon	1	1
ChezPAX	1	3
ChinaKatSunflwr	1	1
ChrisMBarr	1	1
CleaSan	1	1
CloudComputing3	1	2
CloudFutures	1	1
ColinJWhite	1	1
ConnTravels	1	1
ConnorFee	1	3
Cranialstrain	1	1
Crazy_Owl	1	1
CrowdSpot	1	1
DRZ400SM	1	1
DaBourz	1	1
DamonOehlman	1	1
DanInSanJose	1	3
DaveTaylor	1	1
DavidJPoole	1	1
Desamus1	1	1
DirkSunValley	1	1
DmitryBaranovsk	1	1
DonMacAskill	1	1
DongwooKim	1	1
DrFaust	1	1
DrQz	1	1
DragonBe	1	1
Efratk	1	2
Ensanguin	1	1
FagunB	1	1
FireScope	1	1
FollowAlexM	1	1
FrankVanHarmele	1	1
GaryRudolph	1	1
Gommit	1	1
GreenKei	1	1
GregRahn	1	1
Grummfy	1	1
Guutara	1	1
HBase	1	1
HD42	1	1
Haha_Dad	1	1
Hakcer	1	1
HeathWilkes	1	4
Hewlettb	1	1
Hicks_PAX	1	1
HolyHaddock	1	1
Hwaet	1	1
IanHolsman	1	1
Ikawe	1	2
JaimeObregon	1	2
Japan_Clouds	1	1
JayRWren	1	1
Jconner05	1	1
